ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1588265999,2025-06-30T01:37:01.328000,2025-06-30T01:37:05.927000,buy,0.03,0.03,BTCUSD,108722.32,108701.25,108701.25,,-0.48,0,-0.63,,,sl
1588201355,2025-06-30T00:56:14.975000,2025-06-30T00:57:24.375000,buy,0.02,0.02,BTCUSD,108720.4,108685.37,108685.37,,-0.32,0,-0.7,,,sl
1587376260,2025-06-27T18:36:08.659000,2025-06-27T18:37:00.129000,sell,0.01,0.01,XAUUSD,3271.038,3271.86,3271.86,3268.154,-0.11,0,-0.82,,,sl
1583626982,2025-06-26T03:03:39.240000,2025-06-26T03:08:17.380000,buy,0.01,0.01,BTCUSD,108135.1,108153,108153,,-0.16,0,0.18,,,sl
1583339877,2025-06-25T19:59:59.842000,2025-06-25T20:01:11.271000,buy,0.01,0.01,BTCUSD,107820.72,107695.86,107695.86,,-0.16,0,-1.25,,,sl
1583330806,2025-06-25T19:45:04.537000,2025-06-25T19:51:29.710000,buy,0.01,0.01,BTCUSD,107734.88,107805.18,107805.18,,-0.16,0,0.7,,,sl
1583314801,2025-06-25T19:19:19.780000,2025-06-25T19:30:19.002000,buy,0.01,0.01,BTCUSD,107797.71,107869.84,107869.84,,-0.16,0,0.72,,,sl
1583312262,2025-06-25T19:12:40.172000,2025-06-25T19:16:08.014000,buy,0.01,0.01,BTCUSD,107752.2,107714.81,107714.81,,-0.16,0,-0.37,,,sl
1583310893,2025-06-25T19:10:45.265000,2025-06-25T19:12:12.412000,buy,0.01,0.01,BTCUSD,107754.36,107715.14,107715.14,,-0.16,0,-0.39,,,sl
1581386816,2025-06-24T17:50:58.547000,2025-06-24T17:52:33.455000,buy,0.01,0.01,BTCUSD,106179.31,106164.63,106164.63,,-0.16,0,-0.14,,,sl
1581382267,2025-06-24T17:47:18.665000,2025-06-24T17:49:41.114000,buy,0.01,0.01,BTCUSD,106108.29,106169.4,106169.4,,-0.16,0,0.61,,,sl
1581379110,2025-06-24T17:43:20.939000,2025-06-24T17:45:52.249000,buy,0.01,0.01,BTCUSD,106067.92,106088,106088,,-0.16,0,0.2,,,sl
1581376992,2025-06-24T17:40:35.599000,2025-06-24T17:41:50.244000,buy,0.01,0.01,BTCUSD,105984.12,106000.17,106000.17,,-0.16,0,0.16,,,sl
1579409982,2025-06-23T22:53:41.070000,2025-06-23T22:54:37.484000,buy,0.01,0.01,BTCUSD,105442.94,105378.05,105378.05,,-0.16,0,-0.65,,,sl
1579408143,2025-06-23T22:50:00.539000,2025-06-23T22:50:09.047000,buy,0.01,0.01,BTCUSD,105432.21,105396.7,105396.7,,-0.16,0,-0.35,,,sl
1579386590,2025-06-23T22:24:00.362000,2025-06-23T22:24:04.256000,buy,0.01,0.01,BTCUSD,105577.39,105553.45,105553.45,,-0.16,0,-0.24,,,sl
1579364287,2025-06-23T22:04:58.060000,2025-06-23T22:13:01.181000,buy,0.01,0.01,BTCUSD,104359.86,105391.57,105391.57,,-0.16,0,10.32,,,sl
1579350773,2025-06-23T21:02:34.609000,2025-06-23T21:03:41.082000,buy,0.01,0.01,BTCUSD,103971.81,103907.97,103907.97,,-0.16,0,-0.64,,,sl
1579344490,2025-06-23T20:45:59.993000,2025-06-23T20:46:57.576000,buy,0.01,0.01,BTCUSD,103957.3,103936.04,103936.04,,-0.16,0,-0.21,,,sl
1579325166,2025-06-23T20:17:23.206000,2025-06-23T20:29:35.761000,buy,0.01,0.01,BTCUSD,103458,103758.23,103758.23,,-0.16,0,3,,,sl
1574155483,2025-06-19T20:51:00.156000,2025-06-19T20:52:36.467000,sell,0.01,0.01,BTCUSD,104191.42,104246.69,104246.69,,-0.16,0,-0.56,,,sl
